"unpaired, 1, False, None, None, None
"
"unpaired, 2, False, None, None, None
"
"auditory, 1, False, None, None
"
"auditory, 2, False, None, None
"
"interleaved, visual, 1, False, None, None
"
"interleaved, visual, 2, False, None, None
"
"visual, 1, False, None, None
"
"visual, 2, False, None, None
"
"paired, 1, False, None, None
"
"paired, 2, False, None, None
"
